contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,bid,ask,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,openInterest_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct,amount_to_market_cap,股票价格(new),股票价格(old)
TSLA251003C00450000,450.0,15.4,买 Call，看涨,1.2658636171113806,CALL,87557.0,87557.0,134837780.0,0.009492358214806826,14470.0,>50M,2025-10-03,0.0,0.0,1.0000000000000004e-05,True,TSLA,0.0,9.64,22197.0,87557.0,inf,0.5975103734439834,0.012658636171113806,1420487690716.0,59.75103734439834,9.492358214806826e-05,456.0255126953125,450.3250122070313
TSLA251121C00455000,455.0,45.18,买 Call，看涨,1.2658636171113806,CALL,19505.0,19505.0,88123590.0,0.00620375597591987,35791.0,>50M,2025-11-21,0.0,0.0,1.0000000000000004e-05,True,TSLA,0.0,39.35,53039.0,19505.0,inf,0.1481575603557814,0.012658636171113806,1420487690716.0,14.81575603557814,6.20375597591987e-05,456.0255126953125,450.3250122070313
TSLA251003C00460000,460.0,9.85,买 Call，看涨,1.2658636171113806,CALL,88895.0,88895.0,87561575.0,0.006164191043138458,12509.0,>50M,2025-10-03,0.0,0.0,0.0312596875,False,TSLA,0.0,5.75,13152.0,88895.0,inf,0.7130434782608696,0.012658636171113806,1420487690716.0,71.30434782608695,6.164191043138458e-05,456.0255126953125,450.3250122070313
TSLA251003C00455000,455.0,12.4,买 Call，看涨,1.2658636171113806,CALL,56371.0,56371.0,69900040.0,0.004920847991633544,5475.0,>50M,2025-10-03,0.0,0.0,1.0000000000000004e-05,True,TSLA,0.0,7.4,4783.0,56371.0,inf,0.6756756756756757,0.012658636171113806,1420487690716.0,67.56756756756756,4.9208479916335446e-05,456.0255126953125,450.3250122070313
TSLA251003C00445000,445.0,18.8,买 Call，看涨,1.2658636171113806,CALL,36453.0,36453.0,68531640.0,0.004824514879495821,11763.0,>50M,2025-10-03,0.0,0.0,1.0000000000000004e-05,True,TSLA,0.0,11.8,13887.0,36453.0,inf,0.5932203389830508,0.012658636171113806,1420487690716.0,59.32203389830508,4.824514879495821e-05,456.0255126953125,450.3250122070313
TSLA251003C00440000,440.0,22.5,买 Call，看涨,1.2658636171113806,CALL,27083.0,27083.0,60936750.0,0.004289847099574984,13484.0,>50M,2025-10-03,0.0,0.0,1.0000000000000004e-05,True,TSLA,0.0,14.83,17766.0,27083.0,inf,0.5171948752528658,0.012658636171113806,1420487690716.0,51.71948752528658,4.289847099574984e-05,456.0255126953125,450.3250122070313
TSLA251121C00500000,500.0,27.95,买 Call，看涨,1.2658636171113806,CALL,17343.0,17343.0,48473685.0,0.0034124677965753246,65004.0,10M-50M,2025-11-21,0.0,0.0,0.062509375,False,TSLA,0.0,24.3,70302.0,17343.0,inf,0.15020576131687235,0.012658636171113806,1420487690716.0,15.020576131687235,3.412467796575325e-05,456.0255126953125,450.3250122070313
TSLA251003C00447500,447.5,17.15,买 Call，看涨,1.2658636171113806,CALL,25965.0,25965.0,44529974.99999999,0.0031348370908835235,1903.0,10M-50M,2025-10-03,0.0,0.0,1.0000000000000004e-05,True,TSLA,0.0,10.66,3006.0,25965.0,inf,0.6088180112570355,0.012658636171113806,1420487690716.0,60.88180112570355,3.134837090883523e-05,456.0255126953125,450.3250122070313
NVDA251003C00185000,185.0,3.4,买 Call，看涨,2.1747989850833482,CALL,128595.0,128595.0,43722300.0,0.0010097489224638147,104498.0,10M-50M,2025-10-03,0.0,0.0,1.0000000000000004e-05,True,NVDA,0.0,2.31,107506.0,128595.0,inf,0.4718614718614718,0.021747989850833482,4330017000000.0,47.18614718614718,1.0097489224638148e-05,189.1000061035156,185.0749969482422
NVDA251003C00187500,187.5,1.86,买 Call，看涨,2.1747989850833482,CALL,198872.0,198872.0,36990192.00000001,0.0008542735975401484,66948.0,10M-50M,2025-10-03,0.0,0.0,1.0000000000000004e-05,True,NVDA,0.0,1.25,65072.0,198872.0,inf,0.4880000000000001,0.021747989850833482,4330017000000.0,48.80000000000001,8.542735975401484e-06,189.1000061035156,185.0749969482422
TSLA251017C00450000,450.0,26.77,买 Call，看涨,1.2658636171113806,CALL,13789.0,13789.0,36913153.0,0.0025986253341902486,16117.0,10M-50M,2025-10-17,0.0,0.0,1.0000000000000004e-05,True,TSLA,0.0,20.4,16455.0,13789.0,inf,0.31225490196078437,0.012658636171113806,1420487690716.0,31.225490196078436,2.5986253341902485e-05,456.0255126953125,450.3250122070313
