contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol
AA251212C00034000,34.0,12.92,12.45,13.65,4.0,20.0,3.2578143554687498,True,CALL,2025-12-12,AA
AA251212C00035000,35.0,12.3,11.95,12.65,5.0,67.0,1.875000625,True,CALL,2025-12-12,AA
AA251212C00036000,36.0,11.36,10.95,11.75,5.0,37.0,2.00781748046875,True,CALL,2025-12-12,AA
AA251212C00037000,37.0,9.93,9.8,10.6,29.0,35.0,2.49219126953125,True,CALL,2025-12-12,AA
AA251212C00037500,37.5,9.81,9.4,10.15,32.0,11.0,1.1875040625,True,CALL,2025-12-12,AA
AA251212C00038000,38.0,8.84,8.15,9.8,2.0,239.0,2.6132847167968754,True,CALL,2025-12-12,AA
AA251212C00038500,38.5,8.7,8.25,9.15,7.0,33.0,2.2617230957031245,True,CALL,2025-12-12,AA
AA251212C00039000,39.0,8.17,7.85,8.6,8.0,69.0,2.0722704443359374,True,CALL,2025-12-12,AA
AA251212C00039500,39.5,7.77,7.45,8.1,4.0,104.0,0.937500625,True,CALL,2025-12-12,AA
AA251212C00040000,40.0,7.31,6.75,7.65,2.0,245.0,1.9453127734375002,True,CALL,2025-12-12,AA
AA251212C00040500,40.5,5.99,6.0,7.25,1.0,40.0,1.9804688476562502,True,CALL,2025-12-12,AA
AA251212C00041000,41.0,4.1,5.15,6.75,4.0,351.0,1.8691412792968751,True,CALL,2025-12-12,AA
AA251212C00041500,41.5,4.5,5.25,6.35,3.0,36.0,0.9062509375,True,CALL,2025-12-12,AA
AA251212C00042000,42.0,5.33,4.9,5.65,117.0,186.0,0.6562534375000001,True,CALL,2025-12-12,AA
AA251212C00042500,42.5,3.59,3.6,5.35,1.0,9.0,1.650392373046875,True,CALL,2025-12-12,AA
AA251212C00043000,43.0,4.37,3.85,4.65,1061.0,2312.0,1.3085972070312497,True,CALL,2025-12-12,AA
AA251212C00043500,43.5,3.71,3.15,4.25,53.0,195.0,1.3125034374999998,True,CALL,2025-12-12,AA
AA251212C00044000,44.0,3.4,3.0,3.4,115.0,606.0,0.7695335546875001,True,CALL,2025-12-12,AA
AA251212C00044500,44.5,2.81,2.56,2.87,127.0,210.0,0.632816171875,True,CALL,2025-12-12,AA
AA251212C00045000,45.0,2.26,1.95,2.98,239.0,403.0,0.6718782812500002,True,CALL,2025-12-12,AA
AA251212C00045500,45.5,2.05,1.68,2.5,72.0,142.0,0.6972686523437501,True,CALL,2025-12-12,AA
AA251212C00046000,46.0,1.67,1.1,1.75,296.0,224.0,0.71679970703125,True,CALL,2025-12-12,AA
AA251212C00046500,46.5,1.03,0.81,1.34,34.0,153.0,0.6523472265625001,True,CALL,2025-12-12,AA
AA251212C00047000,47.0,0.61,0.51,0.7,6629.0,11338.0,0.398443515625,True,CALL,2025-12-12,AA
AA251212C00047500,47.5,0.52,0.16,0.6,179.0,156.0,0.506840869140625,False,CALL,2025-12-12,AA
AA251212C00048000,48.0,0.29,0.16,0.44,574.0,184.0,0.53320779296875,False,CALL,2025-12-12,AA
AA251212C00049000,49.0,0.1,0.02,0.15,16.0,77.0,0.49219257812500006,False,CALL,2025-12-12,AA
AA251212C00050000,50.0,0.05,0.02,0.15,107.0,324.0,0.5664105859375,False,CALL,2025-12-12,AA
AA251212C00051000,51.0,0.13,0.0,0.35,11.0,10.0,0.8554701953125,False,CALL,2025-12-12,AA
AA251212C00052000,52.0,0.03,0.0,0.25,1.0,2.0,0.92187578125,False,CALL,2025-12-12,AA
AA251212C00053000,53.0,0.02,0.0,0.27,5.0,8.0,1.0781296093750001,False,CALL,2025-12-12,AA
AA251212P00033500,33.5,0.43,0.0,1.89,,1.0,4.378910776367187,False,PUT,2025-12-12,AA
AA251212P00034000,34.0,0.01,0.0,0.27,2.0,70.0,2.593753515625,False,PUT,2025-12-12,AA
AA251212P00034500,34.5,0.03,0.0,0.09,1.0,7.0,2.0625048437499998,False,PUT,2025-12-12,AA
AA251212P00035000,35.0,0.04,0.0,0.04,1.0,254.0,1.78125109375,False,PUT,2025-12-12,AA
AA251212P00035500,35.5,0.02,0.0,0.08,19.0,27.0,1.875000625,False,PUT,2025-12-12,AA
AA251212P00036000,36.0,0.08,0.0,0.08,1.0,130.0,1.7968760156249999,False,PUT,2025-12-12,AA
AA251212P00036500,36.5,0.03,0.0,0.08,24.0,25.0,1.7109389453125,False,PUT,2025-12-12,AA
AA251212P00037000,37.0,0.08,0.0,0.08,1.0,75.0,1.6328143359374998,False,PUT,2025-12-12,AA
AA251212P00037500,37.5,0.01,0.0,0.08,5.0,144.0,1.5546897265624997,False,PUT,2025-12-12,AA
AA251212P00038000,38.0,0.04,0.0,0.03,5.0,193.0,1.2812535937499998,False,PUT,2025-12-12,AA
AA251212P00038500,38.5,0.04,0.0,0.07,1.0,70.0,1.3750031249999999,False,PUT,2025-12-12,AA
AA251212P00039000,39.0,0.03,0.0,0.03,4.0,163.0,1.15625421875,False,PUT,2025-12-12,AA
AA251212P00039500,39.5,0.03,0.0,0.05,1.0,56.0,1.15625421875,False,PUT,2025-12-12,AA
AA251212P00040000,40.0,0.02,0.01,0.04,11727.0,20417.0,1.09375453125,False,PUT,2025-12-12,AA
AA251212P00040500,40.5,0.03,0.0,0.04,3.0,103.0,0.98437515625,False,PUT,2025-12-12,AA
AA251212P00041000,41.0,0.02,0.0,0.04,41.0,91.0,0.92187578125,False,PUT,2025-12-12,AA
AA251212P00041500,41.5,0.02,0.0,0.06,7.0,212.0,0.9062509375,False,PUT,2025-12-12,AA
AA251212P00042000,42.0,0.02,0.0,0.04,97.0,521.0,0.7812521875,False,PUT,2025-12-12,AA
AA251212P00042500,42.5,0.03,0.0,0.04,18.0,196.0,0.7187528125,False,PUT,2025-12-12,AA
AA251212P00043000,43.0,0.01,0.0,0.01,10296.0,10977.0,0.5312546875,False,PUT,2025-12-12,AA
AA251212P00043500,43.5,0.05,0.01,0.05,48.0,83.0,0.6250037500000001,False,PUT,2025-12-12,AA
AA251212P00044000,44.0,0.04,0.01,0.08,53.0,190.0,0.5976602734375001,False,PUT,2025-12-12,AA
AA251212P00044500,44.5,0.05,0.01,0.12,13.0,40.0,0.5664105859375,False,PUT,2025-12-12,AA
AA251212P00045000,45.0,0.13,0.03,0.12,355.0,2503.0,0.5039112109375,False,PUT,2025-12-12,AA
AA251212P00046000,46.0,0.19,0.03,0.41,50.0,488.0,0.65820654296875,False,PUT,2025-12-12,AA
AA251212P00048000,48.0,1.13,0.81,3.05,1.0,4.0,1.09375453125,True,PUT,2025-12-12,AA
AA251212P00049000,49.0,5.32,1.51,2.68,1.0,2.0,0.7050810742187501,True,PUT,2025-12-12,AA
AA251219C00034000,34.0,9.45,11.4,13.7,2.0,2.0,1.5859395703124997,True,CALL,2025-12-19,AA
AA251219C00035000,35.0,12.19,11.45,12.8,2.0,1607.0,1.5625021874999998,True,CALL,2025-12-19,AA
AA251219C00036000,36.0,8.9,10.65,11.7,20.0,26.0,1.3671906640625,True,CALL,2025-12-19,AA
AA251219C00037000,37.0,6.77,9.15,10.85,1.0,5.0,1.376956240234375,True,CALL,2025-12-19,AA
AA251219C00037500,37.5,6.85,8.65,10.3,1.0,61.0,1.2861363818359375,True,CALL,2025-12-19,AA
AA251219C00038000,38.0,5.79,8.55,9.8,1.0,213.0,1.2324257128906249,True,CALL,2025-12-19,AA
AA251219C00038500,38.5,5.39,7.7,9.35,2.0,73.0,1.2119180029296874,True,CALL,2025-12-19,AA
AA251219C00039000,39.0,8.1,7.95,9.15,1.0,202.0,0.9335944140625,True,CALL,2025-12-19,AA
AA251219C00039500,39.5,5.01,6.75,8.35,1.0,41.0,1.1035201074218752,True,CALL,2025-12-19,AA
AA251219C00040000,40.0,7.45,6.9,8.0,141.0,6517.0,0.7500025,True,CALL,2025-12-19,AA
AA251219C00040500,40.5,6.15,5.75,7.35,4.0,13.0,0.9951172363281251,True,CALL,2025-12-19,AA
AA251219C00041000,41.0,3.6,5.95,6.85,19.0,144.0,0.6132851171875001,True,CALL,2025-12-19,AA
AA251219C00041500,41.5,5.92,5.4,6.35,2.0,126.0,0.5429733203125001,True,CALL,2025-12-19,AA
AA251219C00042000,42.0,5.36,4.95,6.15,23.0,446.0,0.6513706738281251,True,CALL,2025-12-19,AA
AA251219C00043000,43.0,4.6,4.3,4.6,15.0,243.0,0.58789474609375,True,CALL,2025-12-19,AA
AA251219C00044000,44.0,3.75,3.3,3.75,124.0,1413.0,0.5654340332031251,True,CALL,2025-12-19,AA
AA251219C00045000,45.0,2.73,2.58,2.83,1292.0,4464.0,0.4892629199218751,True,CALL,2025-12-19,AA
AA251219C00046000,46.0,2.24,1.92,2.19,147.0,335.0,0.5029346582031251,True,CALL,2025-12-19,AA
AA251219C00047000,47.0,1.48,1.32,1.46,476.0,1253.0,0.44727115234375,True,CALL,2025-12-19,AA
AA251219C00048000,48.0,0.94,0.86,0.99,176.0,122.0,0.44336494140625,False,CALL,2025-12-19,AA
AA251219C00049000,49.0,0.61,0.55,0.65,10309.0,8425.0,0.44482977050781247,False,CALL,2025-12-19,AA
AA251219C00050000,50.0,0.4,0.33,0.42,175.0,1132.0,0.45117736328125,False,CALL,2025-12-19,AA
AA251219C00051000,51.0,0.26,0.2,0.33,74.0,57.0,0.49414568359375005,False,CALL,2025-12-19,AA
AA251219C00052000,52.0,0.17,0.11,0.36,1.0,30.0,0.51562984375,False,CALL,2025-12-19,AA
AA251219C00055000,55.0,0.07,0.0,0.24,10.0,125.0,0.6113320117187502,False,CALL,2025-12-19,AA
AA251219P00033500,33.5,0.02,0.0,0.02,3.0,9.0,0.87500125,False,PUT,2025-12-19,AA
AA251219P00034000,34.0,0.03,0.0,0.02,2.0,7.0,0.8281267187499999,False,PUT,2025-12-19,AA
AA251219P00034500,34.5,0.04,0.0,0.02,6.0,65.0,0.79687703125,False,PUT,2025-12-19,AA
AA251219P00035000,35.0,0.04,0.01,0.02,32.0,3882.0,0.804689453125,False,PUT,2025-12-19,AA
AA251219P00035500,35.5,0.04,0.0,0.02,3.0,31.0,0.73437765625,False,PUT,2025-12-19,AA
AA251219P00036000,36.0,0.02,0.0,0.02,3.0,137.0,0.70312796875,False,PUT,2025-12-19,AA
AA251219P00036500,36.5,0.02,0.0,0.02,6.0,12.0,0.6718782812500002,False,PUT,2025-12-19,AA
