contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol
AA251024C00027000,27.0,10.03,0.0,0.0,2.0,29.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00028000,28.0,9.03,0.0,0.0,1.0,14.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00029000,29.0,7.17,0.0,0.0,2.0,30.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00029500,29.5,6.78,0.0,0.0,1.0,3.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00030000,30.0,5.82,0.0,0.0,10.0,80.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00030500,30.5,6.7,0.0,0.0,3.0,12.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00031000,31.0,5.44,0.0,0.0,11.0,96.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00031500,31.5,5.04,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00032000,32.0,3.99,0.0,0.0,2.0,137.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00032500,32.5,4.67,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00033000,33.0,2.95,0.0,0.0,8.0,3533.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00033500,33.5,2.72,0.0,0.0,1.0,14.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00034000,34.0,2.0,0.0,0.0,30.0,155.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00034500,34.5,1.98,0.0,0.0,6.0,103.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00035000,35.0,1.48,0.0,0.0,56.0,3467.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00035500,35.5,1.13,0.0,0.0,80.0,158.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00036000,36.0,1.08,0.0,0.0,1073.0,2481.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00036500,36.5,0.84,0.0,0.0,313.0,560.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00037000,37.0,0.64,0.0,0.0,1028.0,1186.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00037500,37.5,0.4,0.0,0.0,326.0,932.0,1.0000000000000003e-05,True,CALL,2025-10-24,AA
AA251024C00038000,38.0,0.37,0.0,0.0,1831.0,3769.0,0.0312596875,False,CALL,2025-10-24,AA
AA251024C00038500,38.5,0.25,0.0,0.0,213.0,607.0,0.062509375,False,CALL,2025-10-24,AA
AA251024C00039000,39.0,0.24,0.0,0.0,643.0,971.0,0.12500875,False,CALL,2025-10-24,AA
AA251024C00039500,39.5,0.13,0.0,0.0,40.0,424.0,0.12500875,False,CALL,2025-10-24,AA
AA251024C00040000,40.0,0.15,0.0,0.0,605.0,7702.0,0.2500075,False,CALL,2025-10-24,AA
AA251024C00040500,40.5,0.13,0.0,0.0,319.0,604.0,0.2500075,False,CALL,2025-10-24,AA
AA251024C00041000,41.0,0.12,0.0,0.0,399.0,605.0,0.2500075,False,CALL,2025-10-24,AA
AA251024C00042000,42.0,0.06,0.0,0.0,359.0,2944.0,0.500005,False,CALL,2025-10-24,AA
AA251024C00043000,43.0,0.1,0.0,0.0,4.0,114.0,0.500005,False,CALL,2025-10-24,AA
AA251024C00044000,44.0,0.17,0.0,0.0,2.0,341.0,0.500005,False,CALL,2025-10-24,AA
AA251024C00045000,45.0,0.01,0.0,0.0,240.0,1082.0,0.500005,False,CALL,2025-10-24,AA
AA251024C00046000,46.0,0.02,0.0,0.0,208.0,245.0,0.500005,False,CALL,2025-10-24,AA
AA251024C00047000,47.0,0.01,0.0,0.0,817.0,803.0,0.500005,False,CALL,2025-10-24,AA
AA251024P00027000,27.0,0.02,0.0,0.0,4.0,29.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00028000,28.0,0.02,0.0,0.0,51.0,193.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00029000,29.0,0.03,0.0,0.0,43.0,394.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00029500,29.5,0.02,0.0,0.0,30.0,41.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00030000,30.0,0.03,0.0,0.0,15.0,273.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00030500,30.5,0.07,0.0,0.0,146.0,30.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00031000,31.0,0.08,0.0,0.0,3579.0,2741.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00031500,31.5,0.09,0.0,0.0,944.0,267.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00032000,32.0,0.12,0.0,0.0,209.0,266.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00032500,32.5,0.24,0.0,0.0,156.0,302.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00033000,33.0,0.27,0.0,0.0,481.0,878.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00033500,33.5,0.35,0.0,0.0,77.0,584.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00034000,34.0,0.52,0.0,0.0,241.0,1177.0,0.500005,False,PUT,2025-10-24,AA
AA251024P00034500,34.5,0.67,0.0,0.0,218.0,469.0,0.2500075,False,PUT,2025-10-24,AA
AA251024P00035000,35.0,0.81,0.0,0.0,2611.0,2549.0,0.2500075,False,PUT,2025-10-24,AA
AA251024P00035500,35.5,1.04,0.0,0.0,268.0,365.0,0.2500075,False,PUT,2025-10-24,AA
AA251024P00036000,36.0,1.41,0.0,0.0,286.0,1212.0,0.2500075,False,PUT,2025-10-24,AA
AA251024P00036500,36.5,1.58,0.0,0.0,128.0,504.0,0.12500875,False,PUT,2025-10-24,AA
AA251024P00037000,37.0,2.0,0.0,0.0,106.0,1996.0,0.062509375,False,PUT,2025-10-24,AA
AA251024P00037500,37.5,2.24,0.0,0.0,35.0,142.0,0.0312596875,False,PUT,2025-10-24,AA
AA251024P00038000,38.0,2.6,0.0,0.0,78.0,72.0,1.0000000000000003e-05,True,PUT,2025-10-24,AA
AA251024P00038500,38.5,3.23,0.0,0.0,53.0,103.0,1.0000000000000003e-05,True,PUT,2025-10-24,AA
AA251024P00039000,39.0,3.3,0.0,0.0,36.0,81.0,1.0000000000000003e-05,True,PUT,2025-10-24,AA
AA251024P00039500,39.5,3.46,0.0,0.0,2.0,26.0,1.0000000000000003e-05,True,PUT,2025-10-24,AA
AA251024P00040000,40.0,4.09,0.0,0.0,15.0,25.0,1.0000000000000003e-05,True,PUT,2025-10-24,AA
AA251024P00040500,40.5,4.15,0.0,0.0,,15.0,1.0000000000000003e-05,True,PUT,2025-10-24,AA
AA251024P00041000,41.0,7.25,0.0,0.0,,0.0,1.0000000000000003e-05,True,PUT,2025-10-24,AA
AA251031C00027000,27.0,6.84,7.0,10.85,,5.0,1.1171919140625,True,CALL,2025-10-31,AA
AA251031C00028000,28.0,6.55,0.0,0.0,1.0,9.0,1.0000000000000003e-05,True,CALL,2025-10-31,AA
AA251031C00029000,29.0,4.55,0.0,0.0,1.0,7.0,1.0000000000000003e-05,True,CALL,2025-10-31,AA
