contractSymbol,strike,lastPrice_new,bid,ask,volume_new,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,signal_type,stock_price_change_pct,option_price_change_pct,volume_change_abs,amount_threshold,amount_to_market_cap_pct,amount_tier
TSLA251003C00440000,440.0,11.2,11.2,11.25,49195.0,16463.0,0.5114794946289063,True,CALL,2025-10-03,TSLA,29934.0,8.75,19261.0,64.3448920959444,0.2799999999999999,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,27.999999999999993,19261.0,21572320.0,0.0015186558912824106,10M-50M
TSLA251003C00437500,437.5,12.73,12.55,12.65,24054.0,7876.0,0.5090381127929688,True,CALL,2025-10-03,TSLA,10734.0,9.7,13320.0,124.09167132476244,0.3123711340206187,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,31.237113402061873,13320.0,16956360.0,0.0011936998898915562,10M-50M
RIOT260320C00020000,20.0,4.05,4.0,4.1,38051.0,49289.0,0.8767102172851562,False,CALL,2026-03-20,RIOT,27.0,4.3,38024.0,140829.62962962964,-0.05813953488372093,-0.020000011889965502,6538634054.0,卖Call，看跌,-2.00000118899655,-5.813953488372093,38024.0,15399719.999999998,0.23551891530891292,10M-50M
TSLA251003C00435000,435.0,14.05,13.95,14.1,17359.0,4708.0,0.5033008654785156,True,CALL,2025-10-03,TSLA,7681.0,11.11,9678.0,125.99921885171202,0.26462646264626477,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,26.46264626462648,9678.0,13597590.0,0.0009572479993224092,10M-50M
TSLA251003P00435000,435.0,8.0,8.0,8.05,31829.0,3746.0,0.6405065246582031,False,PUT,2025-10-03,TSLA,16964.0,10.4,14865.0,87.62673897665645,-0.23076923076923078,0.019652956098037425,1420487690716.0,卖Put，看涨,1.9652956098037424,-23.076923076923077,14865.0,11892000.0,0.0008371772650846281,10M-50M
TSLA251003P00437500,437.5,9.16,9.1,9.2,34436.0,2982.0,0.6450230810546875,False,PUT,2025-10-03,TSLA,22153.0,11.85,12283.0,55.446214959599146,-0.22700421940928267,0.019652956098037425,1420487690716.0,卖Put，看涨,1.9652956098037424,-22.700421940928265,12283.0,11251228.0,0.0007920679688768576,10M-50M
TSLA251003C00450000,450.0,6.99,6.95,7.05,38817.0,22556.0,0.5338181384277343,False,CALL,2025-10-03,TSLA,24763.0,5.3,14054.0,56.7540281872148,0.318867924528302,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,31.8867924528302,14054.0,9823746.0,0.0006915755809927729,5M-10M
TSLA251003P00440000,440.0,10.37,10.35,10.4,38210.0,5698.0,0.6503330865478516,False,PUT,2025-10-03,TSLA,29340.0,13.3,8870.0,30.231765507839125,-0.22030075187969936,0.019652956098037425,1420487690716.0,卖Put，看涨,1.9652956098037424,-22.030075187969935,8870.0,9198190.0,0.0006475374661897727,5M-10M
TSLA251121C00500000,500.0,21.7,21.7,21.8,9091.0,68450.0,0.6218604708862305,False,CALL,2025-11-21,TSLA,5042.0,19.9,4049.0,80.30543435144783,0.09045226130653271,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,9.04522613065327,4049.0,8786330.0,0.0006185431987496654,5M-10M
TSLA251003C00430000,430.0,17.3,17.15,17.25,12555.0,8454.0,0.4945118908691406,True,CALL,2025-10-03,TSLA,7619.0,13.7,4936.0,64.78540490878068,0.26277372262773735,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,26.277372262773735,4936.0,8539280.0,0.0006011512845771833,5M-10M
TSLA251003C00445000,445.0,8.95,8.9,8.95,18797.0,12351.0,0.523442265625,False,CALL,2025-10-03,TSLA,12398.0,6.93,6399.0,51.613163413453776,0.29148629148629146,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,29.148629148629148,6399.0,5727105.0,0.0004031787841197864,5M-10M
TSLA251010C00440000,440.0,17.15,17.0,17.1,6766.0,2949.0,0.5001270690917969,True,CALL,2025-10-10,TSLA,4425.0,14.35,2341.0,52.90395480225989,0.19512195121951212,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,19.512195121951212,2341.0,4014814.9999999995,0.00028263638088805423,<=5M
TSLA251003P00430000,430.0,6.2,6.15,6.25,21318.0,14400.0,0.6414830773925781,False,PUT,2025-10-03,TSLA,15036.0,8.26,6282.0,41.77972865123703,-0.24939467312348665,0.019652956098037425,1420487690716.0,卖Put，看涨,1.9652956098037424,-24.939467312348665,6282.0,3894840.0,0.00027419033797025,<=5M
TSLA251017C00450000,450.0,17.35,17.4,17.45,7110.0,15823.0,0.5198412274169921,False,CALL,2025-10-17,TSLA,5014.0,14.95,2096.0,41.802951735141605,0.16053511705685633,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,16.053511705685633,2096.0,3636560.0000000005,0.00025600785024522,<=5M
PLTR251003C00180000,180.0,3.85,3.85,3.95,31238.0,19832.0,0.4318904467773438,True,CALL,2025-10-03,PLTR,22164.0,3.6,9074.0,40.940263490344705,0.06944444444444445,0.011548716815391047,421256843697.0,买Call，看涨,1.1548716815391047,6.944444444444445,9074.0,3493490.0,0.0008293016605595574,<=5M
TSLA251003C00442500,442.5,10.05,10.0,10.1,12051.0,8854.0,0.5189257092285156,True,CALL,2025-10-03,TSLA,8842.0,7.7,3209.0,36.29269396064239,0.30519480519480524,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,30.519480519480524,3209.0,3225045.0,0.00022703787023838334,<=5M
RIOT260116C00022000,22.0,2.61,2.6,2.63,16660.0,30613.0,0.9062509375,False,CALL,2026-01-16,RIOT,4644.0,2.77,12016.0,258.74246339362617,-0.05776173285198561,-0.020000011889965502,6538634054.0,卖Call，看跌,-2.00000118899655,-5.776173285198561,12016.0,3136176.0,0.047963779194546745,<=5M
PFE251003C00025000,25.0,0.47,0.47,0.48,140376.0,8544.0,0.2949289257812499,True,CALL,2025-10-03,PFE,77010.0,0.2,63366.0,82.28282041293339,1.3499999999999996,0.02653277071773733,135088679880.0,买Call，看涨,2.653277071773733,134.99999999999997,63366.0,2978201.9999999995,0.0022046273622967905,<=5M
TSLA251010C00435000,435.0,19.8,19.55,19.7,3092.0,1570.0,0.4978077563476563,True,CALL,2025-10-10,TSLA,1769.0,16.55,1323.0,74.7880158281515,0.19637462235649547,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,19.637462235649547,1323.0,2619540.0,0.00018441131289772847,<=5M
TSLA251003P00432500,432.5,7.0,7.0,7.1,7528.0,5357.0,0.6397130755615235,False,PUT,2025-10-03,TSLA,3846.0,9.51,3682.0,95.73582943317732,-0.2639327024185068,0.019652956098037425,1420487690716.0,卖Put，看涨,1.9652956098037424,-26.39327024185068,3682.0,2577400.0,0.00018144472612084767,<=5M
TSLA251010C00450000,450.0,12.74,12.65,12.8,6009.0,5150.0,0.5112353564453125,False,CALL,2025-10-10,TSLA,4081.0,10.45,1928.0,47.24332271502083,0.21913875598086135,0.019652956098037425,1420487690716.0,买Call，看涨,1.9652956098037424,21.913875598086136,1928.0,2456272.0,0.00017291751389706943,<=5M
TSLA251010P00430000,430.0,11.07,11.05,11.2,4471.0,2713.0,0.5619550640869142,False,PUT,2025-10-10,TSLA,2376.0,13.35,2095.0,88.17340067340066,-0.17078651685393254,0.019652956098037425,1420487690716.0,卖Put，看涨,1.9652956098037424,-17.078651685393254,2095.0,2319165.0,0.00016326540632189638,<=5M
