contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,bid,ask,openInterest,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct
NVDA251003C00185000,185.0,3.54,买Call，看涨,2.6010423804146625,CALL,350386.0,350386.0,124036644.0,0.002864576374642409,80875.0,>50M,2025-10-03,3.5,3.6,80875.0,0.3527896752929687,True,NVDA,0.0,1.35,350386.0,100.0,1.622222222222222,0.026010423804146626,4330017000000.0,162.2222222222222
NVDA251003C00180000,180.0,7.38,买Call，看涨,2.6010423804146625,CALL,100179.0,100179.0,73932102.0,0.0017074321417213834,82145.0,>50M,2025-10-03,7.35,7.45,82145.0,0.4069883520507812,True,NVDA,0.0,3.9,100179.0,100.0,0.8923076923076924,0.026010423804146626,4330017000000.0,89.23076923076924
NVDA251003C00187500,187.5,2.2,买Call，看涨,2.6010423804146625,CALL,266560.0,266560.0,58643200.0,0.0013543411030487872,70656.0,>50M,2025-10-03,2.2,2.22,70656.0,0.3398503515625,False,NVDA,0.0,0.71,266560.0,100.0,2.098591549295775,0.026010423804146626,4330017000000.0,209.8591549295775
NVDA251003C00182500,182.5,5.35,买Call，看涨,2.6010423804146625,CALL,84129.0,84129.0,45009015.0,0.0010394650875504645,72571.0,10M-50M,2025-10-03,5.3,5.35,72571.0,0.3708559008789062,True,NVDA,0.0,2.41,84129.0,100.0,1.2199170124481324,0.026010423804146626,4330017000000.0,121.99170124481324
HOOD251003C00140000,140.0,5.25,买Call，看涨,4.724979079432532,CALL,34114.0,34114.0,17909850.0,0.01666543061811171,17771.0,10M-50M,2025-10-03,5.15,5.3,17771.0,0.5751995605468749,True,HOOD,0.0,2.54,34114.0,100.0,1.0669291338582676,0.04724979079432532,107467070071.0,106.69291338582676
PLTR251003C00180000,180.0,5.06,买Call，看涨,1.9903821684252607,CALL,34814.0,34814.0,17615884.0,0.004181744288211655,19832.0,10M-50M,2025-10-03,4.95,5.1,19832.0,0.4978077563476563,True,PLTR,0.0,3.35,34814.0,100.0,0.5104477611940297,0.019903821684252608,421256843697.0,51.04477611940297
CRWV251003C00140000,140.0,3.0,买Call，看涨,11.69605766656718,CALL,57481.0,57481.0,17244300.0,0.029329634008886312,19452.0,10M-50M,2025-10-03,2.95,3.1,19452.0,0.7651390673828126,False,CRWV,0.0,0.43,57481.0,100.0,5.976744186046512,0.11696057666567179,58794801172.0,597.6744186046511
RIOT260320C00020000,20.0,3.95,卖Call，看跌,-3.791708665138538,CALL,38060.0,38060.0,15033700.0,0.22992111006431312,49289.0,10M-50M,2026-03-20,4.0,4.1,49289.0,0.8579115771484375,False,RIOT,0.0,4.55,38060.0,100.0,-0.1318681318681318,-0.03791708665138538,6538634054.0,-13.186813186813179
HOOD251003C00126000,126.0,17.8,买Call，看涨,4.724979079432532,CALL,8097.0,8097.0,14412660.0,0.013411233776521519,18064.0,10M-50M,2025-10-03,16.25,17.75,18064.0,0.9262702685546876,True,HOOD,0.0,11.6,8097.0,100.0,0.5344827586206897,0.04724979079432532,107467070071.0,53.448275862068975
CRWV251017C00115000,115.0,24.1,买Call，看涨,11.69605766656718,CALL,5627.0,5627.0,13561070.000000002,0.023065083527245987,11346.0,10M-50M,2025-10-17,23.8,24.65,11346.0,0.8630384790039063,True,CRWV,0.0,13.37,5627.0,100.0,0.8025430067314886,0.11696057666567179,58794801172.0,80.25430067314886
